,NR_experienced_on_request,no_of_supercats_tried_last_30d,no_of_supercats_tried_last_90d,no_of_supercats_tried_last_365d,no_of_deliveries_last_30d,no_of_deliveries_last_90d,no_of_deliveries_last_365d,service_deliverd_aov_last_30d,service_deliverd_aov_last_90d,service_deliverd_aov_last_365d,most_deliverd_supercat,income_segment,gender,user_state_platform,days_on_platform,NR_experienced_last_365d,revenues_next_6_months,request_id
50822,1,,,,,,,,,,,,Female,,,0.0,,889304c1-305d-41a8-89ae-3f6b2931262e
11015,1,0.0,0.0,2.0,0.0,0.0,4.0,,,636.0,SKBC,25lac +,Female,DORMANT,2066.0,0.0,18644.0,c54825a6-4404-4ab5-a354-5c4efb077ee6
138322,0,1.0,2.0,3.0,1.0,2.0,7.0,398.0,308.0,329.14285714285717,Mens Grooming,,Male,ENGAGED,522.0,0.0,397.0,16264fc0-5e51-4d90-aa1b-6a3e0690b852
61253,1,1.0,1.0,3.0,1.0,1.0,5.0,268.0,268.0,2203.2,EPC,15lac - 25lac,Male,RESURRECTED,779.0,1.0,4995.0,5d01c2d8-c4ba-4e99-8f2c-18365457db31
69513,1,0.0,1.0,2.0,0.0,2.0,8.0,,4547.5,2646.0,Salon at Home,25lac +,Female,ENGAGED,722.0,0.0,1494.0,3ec77dd4-6c44-4f87-9812-0c3798a49f25
198288,0,0.0,0.0,1.0,0.0,0.0,1.0,,,827.0,Salon at Home,,Female,DORMANT,910.0,0.0,628.0,278ca68f-e961-4bce-9988-1aae6fc63436
109252,0,1.0,1.0,2.0,1.0,4.0,12.0,297.0,359.75,322.1666666666667,Mens Grooming,,Female,ENGAGED,519.0,0.0,3268.0,0083189f-ee8f-48e0-8ff1-b66881b596ea
197151,0,3.0,4.0,6.0,4.0,8.0,19.0,952.25,1223.75,1490.9473684210527,Salon at Home,25lac +,Female,ENGAGED,1249.0,0.0,41491.0,8803efce-c819-47fe-a12c-b5db19eea8b3
76863,1,1.0,1.0,2.0,1.0,1.0,4.0,1247.0,1247.0,810.0,SKBC,,Male,RESURRECTED,112.0,0.0,995.0,cee720f7-0c53-475e-af88-b7c76d343501
153279,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Salon at Home,,Female,NEW CHURN,507.0,0.0,2175.0,b79db2ee-0a61-45dc-89b7-f4ab0cde1259
181956,0,2.0,2.0,2.0,3.0,3.0,3.0,1535.0,1535.0,1535.0,SKBC,,Male,ENGAGED,1343.0,0.0,678.0,774dae98-7377-4a92-ba85-229aac5fcca6
47891,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,AC Service and Repair,,Male,CHURN,1527.0,0.0,209.0,59c4d7c3-48d5-4821-b52b-0f3892028052
24844,1,0.0,1.0,1.0,0.0,1.0,2.0,,917.0,782.5,Salon at Home,,Male,RESURRECTED,797.0,0.0,2445.0,c583d30c-ed5a-402f-84c8-7d4a7f40c6b4
43988,1,,,,,,,,,,,5lac - 10lac,Male,,,0.0,548.0,1b186d25-39cb-4fd8-960a-9ccfaa0a1797
72287,1,2.0,6.0,7.0,3.0,12.0,23.0,2146.0,1857.9166666666667,1684.2173913043478,SKBC,25lac +,Female,ENGAGED,1239.0,0.0,17952.0,b6d54c9c-30bd-453f-8e7b-3f6b886984fe
75283,1,0.0,1.0,1.0,0.0,1.0,3.0,,398.0,398.0,Mens Grooming,,Male,ENGAGED,787.0,0.0,,03930e2a-34f9-470e-9423-6f10ed67a016
108016,0,3.0,3.0,5.0,3.0,7.0,29.0,1104.3333333333333,956.4285714285714,1117.551724137931,Salon at Home,,Male,ENGAGED,418.0,3.0,15292.0,bd4d6618-74d9-414b-b321-bbda40a73464
158312,0,0.0,0.0,1.0,0.0,0.0,2.0,,,943.0,Salon at Home,,Female,CHURN,332.0,0.0,1644.0,7d065fc3-0b32-4282-96ee-c2758fe55ff6
80982,1,1.0,1.0,2.0,2.0,4.0,13.0,541.0,712.75,907.4615384615385,Salon at Home,,Female,ENGAGED,1606.0,0.0,15123.0,41d7a5cf-d692-40bd-a96e-09f0e54a9cbd
7455,1,,,,,,,,,,,,Female,,,0.0,,17e9f0ce-3847-440e-9b88-cc59ead4eadb
12674,1,1.0,1.0,4.0,2.0,8.0,36.0,722.5,983.875,928.6666666666666,Salon at Home,,Male,ENGAGED,504.0,0.0,17724.0,65ff58b9-251f-4701-87fd-b862cf80adc0
86419,1,0.0,1.0,1.0,0.0,2.0,6.0,,298.0,298.0,Mens Grooming,-1,Female,ENGAGED,260.0,0.0,1692.0,ac928f89-5525-4200-9474-541b241f8687
51760,1,2.0,2.0,2.0,2.0,5.0,8.0,602.0,775.0,940.875,Salon at Home,,Female,ENGAGED,154.0,0.0,4211.0,5eb96ebe-9d88-473f-8fe1-512d7b98f5ec
4062,1,1.0,1.0,4.0,1.0,1.0,6.0,49.0,49.0,998.3333333333334,SKBC,25lac +,Male,RESURRECTED,576.0,0.0,3337.0,1cd47ada-84d6-475f-aabd-288127b1d734
78006,1,1.0,2.0,3.0,1.0,3.0,11.0,981.0,1118.0,1107.0,Salon at Home,< 1 lac,Unknown,ENGAGED,1771.0,0.0,14334.0,70e4fc78-9de6-4c5e-997a-d6e79dce3ea8
3254,1,,,,,,,,,,,25lac +,Male,,,0.0,2045.0,1da76d59-6d7b-4b88-9844-9bc006ec80a8
129605,0,0.0,3.0,3.0,0.0,3.0,4.0,,445.6666666666667,334.25,Video Consultation - Appliance,,Male,ENGAGED,219.0,1.0,2741.0,547e1b19-fb17-4947-84c2-53b4e4e93075
19317,1,1.0,1.0,2.0,1.0,1.0,5.0,648.0,648.0,688.0,Salon at Home,,Female,RESURRECTED,402.0,0.0,3271.0,5a16424b-dfca-4fc3-a021-07d9439fef75
11173,1,,,,,,,,,,,,Male,,,0.0,,812d6453-4431-4084-bc23-f04f8a2c74de
63572,1,,,,,,,,,,,,Male,,,0.0,,22565560-40db-4a26-af78-021fbb16f0af
148445,0,,,,,,,,,,,,Male,,,0.0,1287.0,7cdd9358-7207-4a35-9417-9dd0d776e571
57595,1,1.0,1.0,2.0,1.0,1.0,6.0,218.0,218.0,659.3333333333334,EPC,,Male,RESURRECTED,855.0,0.0,2381.0,b3b3fa7d-df99-4f75-a3dd-9096f7c10619
21038,1,1.0,1.0,4.0,1.0,2.0,7.0,648.0,1001.5,994.4285714285714,EPC,25lac +,Male,ENGAGED,2311.0,0.0,8524.0,d7947645-f3b3-4cd8-b5a1-abb4109ec0ea
185989,0,2.0,2.0,5.0,2.0,4.0,13.0,533.0,571.5,691.0769230769231,Salon at Home,Na,Male,ENGAGED,1282.0,1.0,10400.0,8388ead4-2ad7-40ea-8dab-03bdc8253aeb
126201,0,1.0,5.0,6.0,1.0,6.0,8.0,7448.0,2901.3333333333335,2294.25,EPC,25lac +,Male,ENGAGED,394.0,2.0,2944.0,654d3abc-b4b9-45d3-9f9a-7214c4696fc0
123250,0,0.0,1.0,1.0,0.0,1.0,1.0,,3298.0,3298.0,Salon at Home,15lac - 25lac,Male,RESURRECTED,1513.0,0.0,2482.0,0fca1d25-54e5-420d-8095-6879f421b935
91760,1,,,,,,,,,,,,Female,,,0.0,3954.0,9a57339b-ad7e-4bb9-a12c-cad1c26c9c26
189960,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,EPC,,Male,CHURN,1054.0,0.0,2947.0,cb5f66bb-1c19-4183-ae1d-2bc19791086a
185882,0,3.0,4.0,7.0,5.0,9.0,31.0,2140.6,2084.6666666666665,2134.2580645161293,Salon at Home,,Female,ENGAGED,1528.0,0.0,47212.0,d51aa473-bd16-4bca-a031-26091ec45542
112975,0,0.0,0.0,1.0,0.0,0.0,3.0,,,248.0,Mens Grooming,,Female,DORMANT,265.0,0.0,1673.0,f16a50ed-07ee-4e8e-a73c-7e3b6dacc6d8
67449,1,0.0,0.0,5.0,0.0,0.0,7.0,,,1287.7142857142858,EPC,25lac +,Male,DORMANT,386.0,0.0,2596.0,d774fdc1-fd00-477e-bb3c-1b0aca1af7b7
148290,0,4.0,4.0,7.0,5.0,17.0,65.0,936.0,1027.5294117647059,1749.923076923077,Salon at Home,,Male,ENGAGED,1145.0,2.0,55939.0,f339642a-0053-421b-b9ce-e6283becce6e
73014,1,,,,,,,,,,,,Male,,,0.0,,e4fa6f82-9dfb-4744-a0fb-8d779a754abe
176331,0,5.0,5.0,6.0,6.0,11.0,24.0,1379.5,1207.909090909091,1082.9166666666667,Massage for Men,Na,Male,ENGAGED,1607.0,2.0,12809.0,b946a0ab-9391-429d-a118-e10e7a228010
151323,0,2.0,4.0,6.0,2.0,6.0,11.0,1447.5,754.8333333333334,706.3636363636364,Salon at Home,,Female,ENGAGED,1142.0,1.0,3519.0,1bee38ea-4883-420f-a1a2-bfaa916dbb37
157761,0,0.0,1.0,2.0,0.0,2.0,4.0,,337.0,305.5,EPC,,Male,ENGAGED,201.0,0.0,468.0,136175e1-1997-4806-9f45-e981e6ee6c7e
10477,1,1.0,1.0,1.0,4.0,8.0,28.0,1297.25,1328.75,1395.7142857142858,Massage for Men,,Female,ENGAGED,1262.0,0.0,33545.0,e36d9a57-fc54-4359-8357-ae10e4c2fb74
57158,1,0.0,0.0,1.0,0.0,0.0,1.0,,,1758.0,Large Appliances,,Male,NEW DORMANT,178.0,0.0,199.0,21c12aaf-3060-4aea-bfb6-bf1e9f810967
23645,1,1.0,2.0,5.0,1.0,2.0,13.0,698.0,1932.5,1431.3846153846155,EPC,25lac +,Female,ENGAGED,943.0,0.0,8340.0,b3625890-ee88-4c69-bcd6-29cf742de54a
42862,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,AC Service and Repair,25lac +,Male,CHURN,1439.0,0.0,52485.0,a7b6876c-5a61-4b1a-bfb5-ea6aad4afe81
66105,1,0.0,2.0,3.0,0.0,2.0,7.0,,706.5,597.5714285714286,Salon at Home,,Female,ENGAGED,1102.0,1.0,2597.0,74d35290-49e3-4e00-aad6-892d2e7365b5
130812,0,2.0,6.0,7.0,4.0,14.0,18.0,1122.75,903.5714285714286,885.6111111111111,Massage for Men,25lac +,Male,ENGAGED,1052.0,1.0,5848.0,863419f9-6f2f-4a93-8bc7-26e2780b50fa
134011,0,0.0,1.0,1.0,0.0,1.0,7.0,,298.0,298.0,Mens Grooming,,Male,ENGAGED,511.0,0.0,1192.0,036331f9-ee6b-44f5-8ecc-20a6b66dfb70
166,1,0.0,0.0,1.0,0.0,0.0,2.0,,,648.0,Salon at Home,,Female,DORMANT,1459.0,0.0,9211.0,0ecebadb-cc82-41a8-878e-d423ef280404
177892,0,2.0,2.0,4.0,2.0,3.0,13.0,1560.0,1222.6666666666667,988.6153846153846,Salon at Home,,Female,ENGAGED,453.0,0.0,4604.0,1819ba37-81bb-4852-80a3-d84525befe90
114513,0,2.0,3.0,4.0,2.0,5.0,20.0,1397.5,1095.6,1203.2,Salon at Home,10 lac - 15lac,Female,ENGAGED,1468.0,1.0,22469.0,20f0ce2b-1d83-4b21-a27d-be3dd043872c
38278,1,1.0,4.0,4.0,1.0,4.0,8.0,598.0,1214.0,1561.875,Salon at Home,,Female,ENGAGED,1014.0,1.0,4391.0,f7cadd2b-0b98-4504-88bf-265dbab68bd1
62264,1,3.0,3.0,3.0,5.0,5.0,5.0,448.4,448.4,448.4,AC Service and Repair,,Male,ENGAGED,18.0,0.0,3643.0,3f77fd0c-a670-45e1-a8a0-45376b301c54
185004,0,4.0,4.0,5.0,4.0,5.0,29.0,842.5,763.6,817.7241379310345,EPC,,Male,ENGAGED,1141.0,0.0,7621.0,e0b81e20-830c-429b-88ca-6941fee691d9
146824,0,0.0,0.0,1.0,0.0,0.0,1.0,,,1198.0,Salon at Home,,Female,CHURN,963.0,0.0,1262.0,06916dea-2d86-4f33-b84d-cd56776af6f2
160374,0,0.0,1.0,1.0,0.0,1.0,3.0,,598.0,977.6666666666666,Salon at Home,,Female,ENGAGED,133.0,0.0,1895.0,181892ef-e285-4175-9cb2-be045dd5f9f6
98857,1,0.0,1.0,3.0,0.0,3.0,15.0,,201.0,250.26666666666668,Part Time Maids,,Female,ENGAGED,163.0,0.0,645.0,af3481c5-a5cc-4013-999a-c3942e5b37a7
112185,0,,,,,,,,,,,,Male,,,0.0,1396.0,b14b74fb-ab8e-4b08-907a-c32fcf9c608f
41802,1,,,,,,,,,,,,Male,,,0.0,15080.0,4f724225-075f-46fc-8b3b-db0e732c35eb
143980,0,0.0,3.0,8.0,0.0,3.0,22.0,,2331.0,1155.090909090909,Mens Grooming,,Male,ENGAGED,613.0,0.0,4640.0,4db2665b-3d84-4027-8781-f60a32f9c8d9
